Variable,Scenario,Increment,Direction,Area,N_Cells,Avg_Var_Change,Direct_Delta_Mean,Indirect_Delta_Mean,Total_Delta_Mean,Total_Delta_Std,DAG_Global_Delta,MGWR_Coeff_Mean,Lit_Per_Unit,Coeff_Source,Physics_Lit_Coeff,Physics_Direction
Pct_Impervious,Pct_Impervious_minus_5,5.0,decrease,All,54701,-4.5103250397616135,-0.097290592177568,-0.0009889004933867273,-0.09827949267095473,0.07299625945873171,-0.11323938121388655,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_10,10.0,decrease,All,54701,-8.945567722710736,-0.19266986980342532,-0.001962060798827842,-0.19463193060225317,0.1449663041791835,-0.2264787624277731,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_15,15.0,decrease,All,54701,-13.306351437816494,-0.3253697413764048,-0.003318171978695934,-0.3286876552352292,0.2450602974561346,-0.33971814364165964,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_20,20.0,decrease,All,54701,-17.5856649787024,-0.3786633537999084,-0.0038679115779033406,-0.38253028957148566,0.2816949793994503,-0.4529575248555462,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_25,25.0,decrease,All,54701,-21.76625015996051,-0.41832026050123755,-0.004279626578532373,-0.42259828947465905,0.307622539888138,-0.5661969060694328,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_30,30.0,decrease,All,54701,-25.852966673369774,-0.4508940689107655,-0.004619227676596497,-0.45551128763994536,0.3288619885624539,-0.6794362872833193,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_35,35.0,decrease,All,54701,-29.834888941701248,-0.4787638625988809,-0.00491084646174227,-0.4836723714227174,0.34698932980237107,-0.7926756684972058,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_40,40.0,decrease,All,54701,-33.699801100528326,-0.5031374391164631,-0.005167869382080358,-0.5083026071563659,0.36288550792087754,-0.9059150497110924,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_45,45.0,decrease,All,54701,-37.42891446225846,-0.524708323828664,-0.005396806225546765,-0.5301016092493355,0.3770291505527923,-1.019154430924979,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
Pct_Impervious,Pct_Impervious_minus_50,50.0,decrease,All,54701,-41.00411966874462,-0.5439203644009437,-0.0056021129726933775,-0.5495165489654179,0.3896983658154424,-1.1323938121388657,0.0017148631060698398,0.033,mgwr_causal_anchored,0.33,warming
