OBJECTID,AAT_z,Pct_Canopy,Pct_Impervious,Distance_from_water_m,Elevation_m,POINT_X,POINT_Y,NDVI,Albedo,Location
57145,84.83,4.25,37.69,45.43,17.1,352562.3,252116.99,0.334086448,0.43176204,0
54880,84,100,0,0,12.37,352365.45,252116.99,0.35264948,0.373143852,0
50730,84,54.39,0,0,8.23,352070.17,252116.99,0.189026549,0.313399211,0
35542,84,84.98,20.47,0,13.36,351381.2,252116.99,0.383961767,0.400504582,0
35324,85,100,0,0,11.63,351184.35,252116.99,0.412136763,0.40298786,0
24971,84.15,64.49,0,17.42,16.93,352463.87,252116.99,0.407056868,0.431996696,0
39068,84,36.86,0,0,8.13,351971.75,252116.99,0.129992262,0.292597152,0
12835,84,21.54,0,0,8,351676.47,252116.99,0.279565871,0.349270292,0
35034,84,54.51,27.78,22.46,15.22,351479.62,252116.99,0.368080974,0.398347005,0
52278,86,88.04,15.6,9.75,12.29,350594.03,252117.23,0.366718441,0.403014235,0
42915,85.99,24.33,43.48,103.7,17.2,352723.54,252123.93,0.296517134,0.41577585,0
40952,86,18.56,58.54,38.33,12.74,350513.72,252136.3,0.323564112,0.391878821,0
48013,84.77,19.71,47.19,75.11,16.74,352660.72,252215.41,0.28782481,0.42311281,0
36065,86,92.36,0,0,8.7,350692.22,252215.41,0.376865327,0.395287611,0
58825,85,65.05,0,0,8.73,351184.35,252215.41,0.243213072,0.3324233,0
47307,84.35,81.82,0,0,8.35,351282.77,252215.41,0.3398166,0.370814093,0
56655,86,100,0,7.9,10.57,350593.8,252215.41,0.433262438,0.424386822,0
52627,85.98,18.72,0,0,8,350790.65,252215.41,0.206618309,0.315615758,0
455,84,100,0,0,9.4,351381.2,252215.41,0.393957525,0.401222557,0
59890,84,99.28,2.49,5.43,12.19,351578.05,252215.41,0.392007142,0.406929627,0
47982,84.07,65.26,39.37,46.47,16.63,352562.3,252215.41,0.387456596,0.43557182,0
4380,84,93.8,0,0,10.86,352365.45,252215.41,0.322479844,0.358557925,0
5334,84,95.41,0,0,10.6,352070.17,252215.41,0.334089071,0.367148854,0
57330,85,9.4,0,0,8.01,351085.92,252215.41,0.114009574,0.286382791,0
52984,84,94.01,0,17.72,15.49,352463.87,252215.41,0.427010506,0.425059423,0
49787,84,62.56,0,0,8.38,352168.6,252215.41,0.233808398,0.328858979,0
43468,84,55.85,0,0,8.41,351971.75,252215.41,0.18290326,0.309888516,0
41783,84,81.81,0,0,8.74,351676.47,252215.41,0.341865748,0.379244052,0
22781,84,71.59,35.34,18.61,13.17,351479.62,252215.41,0.395306706,0.412846319,0
42389,85,0,0,0,8,350987.5,252215.41,0.048670471,0.273185205,0
52051,85.1,0.48,0,0,8,350889.07,252215.41,0.100371599,0.288836583,0
13596,86,85.29,26.31,37.9,13.27,350495.45,252215.49,0.321479112,0.400771983,0
59636,85.45,3.63,69.22,103.72,16.93,352734.03,252219.16,0.220005527,0.413043611,0
55580,86,0,84.14,67.9,13.69,350408.15,252233.2,0.220224023,0.392379835,0
54445,86,0,41.89,97.9,10.09,350336.96,252257.79,0.17992422,0.399870314,0
45272,86,62.26,19.52,45.02,14.72,350495.37,252313.84,0.333560109,0.404253267,0
19428,85.56,8.69,0,0,8,350790.65,252313.84,0.224834293,0.321572199,0
40142,84.06,66.08,33.53,67.56,16.13,352660.72,252313.84,0.329289287,0.428301059,0
7906,84,63.08,0,0,8.35,351282.77,252313.84,0.251875758,0.334063619,0
58077,86,91.63,0,0,10.19,350692.22,252313.84,0.437655538,0.425603874,0
58770,84,37.98,13.77,19.71,12.05,351578.05,252313.84,0.356725067,0.417684019,0
58221,84,95.51,35.32,38.11,16.11,352562.3,252313.84,0.426933885,0.435047224,0
15945,84,65.93,0,0,8.82,352365.45,252313.84,0.277819782,0.341598317,0
54956,84,99.19,0,0,10.58,352070.17,252313.84,0.339433521,0.368900225,0
