OBJECTID,Location
23086,Jewlery_District
21368,Jewlery_District
25887,Jewlery_District
28349,Jewlery_District
27780,Jewlery_District
25673,Jewlery_District
13492,Jewlery_District
27880,Jewlery_District
13322,Jewlery_District
17722,Jewlery_District
9020,Jewlery_District
11749,Jewlery_District
7603,Jewlery_District
7546,Jewlery_District
460,Jewlery_District
20798,Jewlery_District
11518,Jewlery_District
29112,Jewlery_District
9687,Jewlery_District
31842,Jewlery_District
11909,Jewlery_District
17090,Jewlery_District
33611,Jewlery_District
10644,Jewlery_District
32119,Jewlery_District
10567,Jewlery_District
4604,Jewlery_District
20311,Jewlery_District
16323,Jewlery_District
31200,Jewlery_District
12235,Jewlery_District
18263,Jewlery_District
30940,Jewlery_District
33377,Jewlery_District
2278,Jewlery_District
1789,Jewlery_District
33573,Jewlery_District
33748,Jewlery_District
8515,Jewlery_District
4186,Jewlery_District
31412,Jewlery_District
35586,Jewlery_District
8737,Jewlery_District
34453,Jewlery_District
35816,Jewlery_District
10311,Jewlery_District
8618,Jewlery_District
28378,Jewlery_District
20594,Jewlery_District
10451,Jewlery_District
10613,Jewlery_District
7442,Jewlery_District
18155,Jewlery_District
32913,Jewlery_District
26827,Jewlery_District
30676,Jewlery_District
20241,Jewlery_District
33662,Jewlery_District
19078,Jewlery_District
5321,Jewlery_District
5422,Jewlery_District
35845,Jewlery_District
28568,Jewlery_District
10777,Jewlery_District
36225,Jewlery_District
29627,Jewlery_District
18815,Jewlery_District
28267,Jewlery_District
13551,Jewlery_District
19473,Jewlery_District
